contract_file_name,contract_id,question,expected_type,gold_value,predicted_value,group,score,is_correct,confidence,verdict,explanation,precision,recall,f1,cosine_similarity,token_f1,hybrid_text_score,status,raw_answer,citations
Contract__16.pdf,Contract__16,"What are the Submittal Alternates, Substitutions, & Contract Document Deviations Terms & Conditions?",long_text,"Except in the case of minor changes in the Work approved by the Architect in accordance with Section 3.12.8 or ordered by the Architect in accordance with Section 7.4, the Contractor may make substitutions only with the consent of the Owner, after evaluation by the Architect and in accordance with a Change Order or Construction Change Directive.","The terms and conditions for Submittal Alternates, Substitutions, and Contract Document Deviations are as follows: The Contractor must ensure that all work is in accordance with approved submittals. Deviations from the Contract Documents are not permitted unless the Contractor has notified the Architect of such deviations at the time of submittal and received written approval from the Architect or a Change Order or Construction Change Directive has been issued. The Contractor is responsible for errors or omissions in submittals, even if approved by the Architect. Specific attention must be directed in writing to revisions other than those requested by the Architect on previous submittals. The Contractor is not required to provide professional services unless specified in the Contract Documents or necessary for construction responsibilities. If professional design services are required, the Owner and Architect will specify performance and design criteria, and the Contractor can rely on their adequacy and accuracy.",descriptive_metrics,0.6,,0.8,partial,"The predicted answer captures some of the key elements of the gold answer, such as the need for Architect's approval and the process involving Change Orders or Construction Change Directives. However, it includes additional details not present in the gold answer and misses the specific mention of minor changes in the Work approved by the Architect.",,,,0.6,0.6,0.6,mismatch,The Contractor must ensure work is in accordance with approved submittals and notify the Architect of deviations. Deviations require written approval or a Change Order. The Contractor is responsible for errors in submittals. Specific attention must be directed to revisions. Professional services are required only if specified or necessary for construction responsibilities.,"['c00060', 'c00059']"
Contract__16.pdf,Contract__16,Does a Subcontractor Award have to be Approved by Owner?,boolean,No,True,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,The Contractor shall not contract with a proposed person or entity to whom the Owner or Architect has made reasonable and timely objection.,"['c00071', 'c00056']"
Contract__16.pdf,Contract__16,Can Owner Mandate Specific Subcontractors be used?,boolean,No,True,categorical_accuracy,0.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,"Yes, the Owner can mandate specific subcontractors.","['c00071', 'c00056']"
Contract__16.pdf,Contract__16,Do GMP Buyout Savings need to be Reported to Owner?,boolean,No,,categorical_accuracy,0.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__16.pdf,Contract__16,Must the GMP Buyout Savings be Shown on Monthly Schedule of Values?,boolean,No,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__16.pdf,Contract__16,Must Use of Buyout Savings for Trade Costs be Approved by Owner?,boolean,No,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__16.pdf,Contract__16,"What is the General Conditions Rate Sheet Appendix / Exhibit (A,B,C,D, Etc.)?",identifier,A.4,Exhibit A,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'Exhibit A' does not match the gold answer 'A.4'. The gold answer specifies a more detailed identifier.,,,,,,,mismatch,Exhibit A,"['c00005', 'c00018']"
Contract__16.pdf,Contract__16,What is the General Conditions Rate Sheet Year?,number,LS 2025,2017,categorical_accuracy,0.0,False,0.0,incorrect,The predicted answer '2017' does not match the gold answer 'LS 2025'.,,,,,,,mismatch,2017,"['c00023', 'c00005', 'c00037', 'c00030', 'c00046', 'c00026']"
Contract__16.pdf,Contract__16,What is the definition for the Cost of the Work?,text,"Cost of labor, cost of materials, cost of machinery/equipment, cost of bonds, insurance, taxes and permit fees, cost of supervision and field office personnel directly attributable to the cost.","The term 'Cost of the Work' refers to the expenses incurred by the Contractor for labor, materials, equipment, and other services necessary for the proper execution and completion of the Work, whether temporary or permanent and whether or not incorporated or to be incorporated in the Work.",descriptive_metrics,0.7,,0.9,partial,"The predicted answer captures the general idea of costs related to labor, materials, and equipment but misses specific details like bonds, insurance, taxes, permit fees, and supervision.",,,,0.7,0.7,0.7,mismatch,"The term 'Cost of the Work' refers to the expenses incurred by the Contractor for labor, materials, equipment, and other services necessary for the proper execution and completion of the Work, whether temporary or permanent and whether or not incorporated or to be incorporated in the Work.","['c00051', 'c00077']"
Contract__16.pdf,Contract__16,What is the General Conditions Type?,enum,Lump Sum,General,categorical_accuracy,0.0,False,0.0,incorrect,The predicted answer 'General' does not match the gold answer 'Lump Sum'.,,,,,,,mismatch,General,"['c00038', 'c00041']"
Contract__16.pdf,Contract__16,What is the Change Markup - Subcontractor %?,percentage,0.1,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__16.pdf,Contract__16,What is the Change Markup - Tiered Subcontractor %?,percentage,Aggregate 10%,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__16.pdf,Contract__16,What is the Change Markup - IMC Fee %?,percentage,0.03,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__16.pdf,Contract__16,What is the Change Markup - CM Insurance %?,percentage,0.01,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__16.pdf,Contract__16,What are the Adverse Weather Days Terms & Conditions?,long_text,"lf the Contractor is delayed at any time in the commencement or progress of the Work by adverse weather conditions documented in accordance with Section 15.1.6.2, or other causes beyond the Contractor's control or by other causes that the Contractor asserts, and the Architect determines, justify delay, then the Contract Time shall be extended for such reasonable time as the Architect may determine.","Weather Delays are addressed under sections 8.3 and 15.1.6.2 of the contract. These sections outline the conditions under which delays caused by adverse weather may be considered for extensions of time. The contract specifies that the Contract Sum and Contract Time shall be adjusted for increases in cost and time caused by suspension, delay, or interruption due to weather conditions, provided that the performance was not suspended, delayed, or interrupted by another cause for which the Contractor is responsible. Additionally, no adjustment shall be made if an equitable adjustment is made or denied under another provision of the Contract.",descriptive_metrics,0.7,,0.9,partial,"The predicted answer captures the essence of the adverse weather terms and conditions, including the extension of time and conditions under which delays are considered. However, it introduces additional details not present in the gold answer and misses the specific mention of the Architect's determination.",,,,0.7,0.7,0.7,mismatch,Weather Delays are addressed under sections 8.3 and 15.1.6.2 of the contract.,"['c00037', 'c00027']"
Contract__16.pdf,Contract__16,How many Adverse Weather Days Included in Contract Agreement?,number,0,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__16.pdf,Contract__16,What are the Schedule Requirements Terms & Conditions?,long_text,"The schedule shall contain detail appropriate for the Project, including (I) the date of commencement of the Work, interim schedule milestone dates, and the date of Substantial Completion; (2) an apportionment of the Work by construction activity; and (3) the time required for completion of each portion of the Work. The schedule shall provide for the orderly progression of the Work to completion and shall not exceed time limits current under the Contract Documents. The schedule shall be revised at appropriate intervals as required by the conditions of the Work and Project.","The schedule requirements terms and conditions include the following: The Contractor must submit a detailed schedule for the Project, including the date of commencement of the Work, interim schedule milestone dates, and the date of Substantial Completion. The schedule must apportion the Work by construction activity and specify the time required for completion of each portion of the Work. It must provide for the orderly progression of the Work to completion and not exceed the time limits set in the Contract Documents. The schedule must be revised at appropriate intervals as required by the conditions of the Work and Project. The Contractor must also submit a submittal schedule for the Architect's approval, which should be coordinated with the Contractor's construction schedule and allow reasonable time for the Architect to review submittals. If the Contractor fails to submit a submittal schedule or provide submittals in accordance with the approved schedule, they will not be entitled to any increase in Contract Sum or extension of Contract Time based on the time required for review of submittals. The Contractor must perform the Work in general accordance with the most recent schedules submitted to the Owner and Architect. Additionally, the Contractor must make available at the Project site the Contract Documents, including Change Orders, Construction Change Directives, and other Modifications, in good order and marked currently to indicate field changes and selections made during construction. These documents must be available in electronic form or paper copy to the Architect and Owner and delivered to the Architect for submittal to the Owner upon completion of the Work as a record of the Work.",descriptive_metrics,0.8,,0.9,partial,"The predicted answer captures the main points of the gold answer but includes additional details not present in the gold answer. The core requirements are covered, and there are no contradictions.",,,,0.8,0.8,0.8,mismatch,"The schedule requirements terms and conditions include the submission of a detailed schedule for the Project, interim schedule milestone dates, and the date of Substantial Completion. The schedule must apportion the Work by construction activity and specify the time required for completion of each portion of the Work. It must provide for the orderly progression of the Work to completion and not exceed the time limits set in the Contract Documents. The schedule must be revised at appropriate intervals as required by the conditions of the Work and Project. The Contractor must also submit a submittal schedule for the Architect's approval, coordinated with the Contractor's construction schedule, and allow reasonable time for the Architect to review submittals. If the Contractor fails to submit a submittal schedule or provide submittals in accordance with the approved schedule, they will not be entitled to any increase in Contract Sum or extension of Contract Time based on the time required for review of submittals. The Contractor must perform the Work in general accordance with the most recent schedules submitted to the Owner and Architect. Additionally, the Contractor must make available at the Project site the Contract Documents, including Change Orders, Construction Change Directives, and other Modifications, in good order and marked currently to indicate field changes and selections made during construction. These documents must be available in electronic form or paper copy to the Architect and Owner and delivered to the Architect for submittal to the Owner upon completion of the Work as a record of the Work.","['c00057', 'c00082']"
Contract__16.pdf,Contract__16,What are the Schedule Delay / Time Issues Terms & Conditions?,long_text,"If the Contractor is delayed at any time in the commencement or progress of the Work by {l) an act or neglect of the Owner or Architect, of an employee of either, or of a Separate Contractor; (2) by changes ordered in the Work; (3) by labor disputes fire, unusual delay in deliveries, unavoidable casualties, adverse weather conditions documented in accordance with Section 15.1.6.2, or other causes beyond the Contractor's control; (4) by delay authorized by the Owner pending mediation and binding dispute resolution; or (5) by other causes that the
Contractor asserts, and the Architect determines, justify delay, then the Contract Time shall be extended for such reasonable time as the Architect may determine.","The Schedule Delay / Time Issues Terms & Conditions are outlined in several sections of the contract. Time limits stated in the Contract Documents are of the essence of the Contract, and the Contractor confirms that the Contract Time is a reasonable period for performing the Work. The Contractor shall not commence the Work prior to the effective date of insurance required to be furnished by the Contractor and Owner. The Contractor shall proceed expeditiously with adequate forces and shall achieve Substantial Completion within the Contract Time. If the Contractor is delayed in the commencement or progress of the Work by various causes beyond their control, the Contract Time shall be extended for such reasonable time as the Architect may determine. Claims relating to time shall be made in accordance with applicable provisions of Article 15. The Owner may, without cause, order the Contractor in writing to suspend, delay, or interrupt the Work, in whole or in part, for such period of time as the Owner may determine. The Contract Sum and Contract Time shall be adjusted for increases in the cost and time caused by suspension, delay, or interruption. No adjustment shall be made to the extent that performance is, was, or would have been suspended, delayed, or interrupted by another cause for which the Contractor is responsible. The Owner may terminate the Contract for convenience and without cause, and the Contractor shall cease operations as directed, take necessary actions for the protection and preservation of the Work, and terminate all existing subcontracts and purchase orders. The Owner shall pay the Contractor for Work properly executed and costs incurred by reason of the termination.",descriptive_metrics,0.65,,0.9,partial,"The predicted answer captures many of the key points from the gold answer, such as delays caused by factors beyond the Contractor's control and the extension of Contract Time. However, it includes additional information not directly related to schedule delay/time issues and misses some specific details from the gold answer.",,,,0.6,0.65,0.65,mismatch,"The Schedule Delay / Time Issues Terms & Conditions include provisions for time limits, commencement of work, substantial completion, delays and extensions of time, suspension, delay, or interruption of work by the Owner, and termination for convenience.","['c00081', 'c00057', 'c00037', 'c00115', 'c00080', 'c00116']"
Contract__16.pdf,Contract__16,What are the Schedule Acceleration Directed by Owner Terms & Conditions?,long_text,"The Contractor shall achieve completion by those dates and times (Per the schedule) and shall perform all out-of-sequence work, come-back work, stand-by work, overtime, expediting and acceleration that may be required to complete the Work by those dates and times, all without charge to the Owner.","The Owner may, without cause, order the Contractor in writing to suspend, delay, or interrupt the Work, in whole or in part for such period of time as the Owner may determine. The Contract Sum and Contract Time shall be adjusted for increases in the cost and time caused by suspension, delay, or interruption. Adjustment of the Contract Sum shall include profit. No adjustment shall be made to the extent that performance is, was, or would have been suspended, delayed, or interrupted by another cause for which the Contractor is responsible, or that an equitable adjustment is made or denied under another provision of the Contract.",descriptive_metrics,0.0,,1.0,incorrect,"The predicted answer discusses suspension, delay, or interruption of work by the Owner, which is unrelated to the schedule acceleration directed by the Owner as described in the gold answer. The content is not only different but also contradictory.",,,,0.0,0.0,0.0,mismatch,"The Owner may, without cause, order the Contractor in writing to suspend, delay, or interrupt the Work, in whole or in part for such period of time as the Owner may determine.","['c00115', 'c00005']"
Contract__16.pdf,Contract__16,What is the Substantial Completion Article #?,identifier,3.3,9.8,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer '9.8' does not match the gold answer '3.3'.,,,,,,,mismatch,ARTICLE 9,"['c00090', 'c00091']"
Contract__16.pdf,Contract__16,What are the Substantial Completion Terms & Conditions?,long_text,"Subject to adjustments of contract time as provided in the contract documents, the contractor shall achieve substantial completion of the entire work by agreed upon date in executed documents.  If contractors fails, liquidated damages, if any, shall be assessed.","Substantial Completion is the stage in the progress of the Work when the Work or designated portion thereof is sufficiently complete in accordance with the Contract Documents so that the Owner can occupy or utilize the Work for its intended use. When the Contractor considers that the Work, or a portion thereof which the Owner agrees to accept separately, is substantially complete, the Contractor shall prepare and submit to the Architect a comprehensive list of items to be completed or corrected prior to final payment. Upon receipt of the Contractor's list, the Architect will make an inspection to determine whether the Work or designated portion thereof is substantially complete. If the Architect's inspection discloses any item, whether or not included on the Contractor's list, which is not sufficiently complete in accordance with the Contract Documents so that the Owner can occupy or utilize the Work or designated portion thereof for its intended use, the Contractor shall, before issuance of the Certificate of Substantial Completion, complete or correct such item upon notification by the Architect. When the Work or designated portion thereof is substantially complete, the Architect will prepare a Certificate of Substantial Completion that shall establish the date of Substantial Completion; establish responsibilities of the Owner and Contractor for security, maintenance, heat, utilities, damage to the Work and insurance; and fix the time within which the Contractor shall finish all items on the list accompanying the Certificate. Warranties required by the Contract Documents shall commence on the date of Substantial Completion of the Work or designated portion thereof unless otherwise provided in the Certificate of Substantial Completion. The Certificate of Substantial Completion shall be submitted to the Owner and Contractor for their written acceptance of responsibilities assigned to them in the Certificate. Upon such acceptance, and consent of surety if any, the Owner shall make payment of retainage applying to the Work or designated portion thereof. Such payment shall be adjusted for Work that is incomplete or not in accordance with the requirements of the Contract Documents.",descriptive_metrics,0.3,,0.8,weak,"The predicted answer provides a detailed description of the process and conditions for achieving substantial completion, but it does not address the specific terms and conditions related to the contract time adjustments and liquidated damages mentioned in the gold answer.",,,,0.3,0.3,0.3,mismatch,Substantial Completion is the stage in the progress of the Work when the Work or designated portion thereof is sufficiently complete in accordance with the Contract Documents so that the Owner can occupy or utilize the Work for its intended use.,"['c00090', 'c00091']"
Contract__16.pdf,Contract__16,What is the Final Completion Definition?,text,"Upon receipt of the Contractor's notice that the Work is ready for final inspection and acceptance and upon receipt of a final Application for Payment the Architect will promptly make such inspection. When the Architect finds the Work acceptable under the Contract Documents and the Contract fully performed, the Architect will promptly issue a final Certificate for Payment stating that to the best of the Architect's knowledge, information and belief, and on the basis of the Architect's on-site visits and inspections, the Work has been completed in accordance with the Contract Documents and that the entire balance found to be due the Contractor and noted in the final Certificate is due and payable.","Final Completion is achieved when the Work is ready for final inspection and acceptance, and the Architect finds the Work acceptable under the Contract Documents and fully performed. The Architect will then issue a final Certificate for Payment, indicating that the Work has been completed in accordance with the Contract Documents and that the entire balance due to the Contractor is payable.",descriptive_metrics,0.9,,0.9,strong,"The predicted answer captures the essential meaning and most of the important details of the gold answer. There is no contradiction, but some minor details are omitted.",,,,0.9,0.9,0.9,mismatch,"Final Completion is achieved when the Work is ready for final inspection and acceptance, and the Architect finds the Work acceptable under the Contract Documents and fully performed.","['c00093', 'c00003']"
Contract__16.pdf,Contract__16,Are there Project Interim Milestones?,boolean,No,True,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,interim schedule milestone dates,"['c00057', 'c00081']"
Contract__16.pdf,Contract__16,What are the Payment Terms Retainage %?,percentage,0.1,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,['c00001']
Contract__16.pdf,Contract__16,What is the Payment Terms for Retainage Reduction Article #?,identifier,5.1.7,5.1.7.2,categorical_accuracy,0.5,False,0.0,partial,The predicted answer includes an additional sub-article (.2) which is not present in the gold answer.,,,,,,,mismatch,Section 5.1.7.2,"['c00001', 'c00003']"
Contract__16.pdf,Contract__16,What are the Payment Terms & Conditions for Retainage Reduction?,long_text,There shall be no reduction in retainage until final payment.,"Reduction or limitation of retainage, if any, shall be as follows: If the retainage established in Section 5.1.7.1 is to be modified prior to Substantial Completion of the entire Work, including modifications for Substantial Completion of portions of the Work as provided in Section 3.3.2, insert provisions for such modifications. Except as set forth in this Section 5.1.7.3, upon Substantial Completion of the Work, the Contractor may submit an Application for Payment that includes the retainage withheld from prior Applications for Payment pursuant to this Section 5.1.7. The Application for Payment submitted at Substantial Completion shall not include retainage as follows: (Insert any other conditions for release of retainage upon Substantial Completion.) If final completion of the Work is materially delayed through no fault of the Contractor, the Owner shall pay the Contractor any additional amounts in accordance with Article 9 of AIA Document A201-2017.",descriptive_metrics,0.35,,0.7,weak,"The predicted answer provides detailed conditions for retainage reduction, which partially overlaps with the gold answer but introduces additional conditions and scenarios not mentioned in the gold answer. There is some contradiction as the gold answer states no reduction until final payment, while the predicted answer allows for modifications under certain conditions.",,,,0.3,0.35,0.35,mismatch,"Reduction or limitation of retainage, if any, shall be as follows: If the retainage established in Section 5.1.7.1 is to be modified prior to Substantial Completion of the entire Work, including modifications for Substantial Completion of portions of the Work as provided in Section 3.3.2, insert provisions for such modifications. Except as set forth in this Section 5.1.7.3, upon Substantial Completion of the Work, the Contractor may submit an Application for Payment that includes the retainage withheld from prior Applications for Payment pursuant to this Section 5.1.7. The Application for Payment submitted at Substantial Completion shall not include retainage as follows: (Insert any other conditions for release of retainage upon Substantial Completion.) If final completion of the Work is materially delayed through no fault of the Contractor, the Owner shall pay the Contractor any additional amounts in accordance with Article 9 of AIA Document A201-2017.","['c00001', 'c00003']"
Contract__16.pdf,Contract__16,Are there Payment Terms for Retainage on General Conditions?,boolean,No,True,categorical_accuracy,1.0,False,0.0,incorrect,"The gold answer indicates 'No', while the predicted answer indicates 'True', which are contradictory.",,,,,,,mismatch,"Yes, there are payment terms for retainage on general conditions.","['c00001', 'c00003']"
Contract__16.pdf,Contract__16,Are there Payment Terms for Retainage on Fee?,boolean,No,True,categorical_accuracy,0.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,"Yes, there are payment terms for retainage on fee.","['c00001', 'c00003']"
Contract__16.pdf,Contract__16,What are the Terms and Conditions for Payment of Offsite Stored Material?,long_text,"The amount of each progress payment shall include that portion of the Contract Sum properly allocable to materials and equipment delivered and suitably stored at the site for subsequent incorporation in the completed construction, or, if approved in advance by the Owner, suitably stored off the site at a location agreed upon in writing.","Unless otherwise provided in the Contract Documents, payments shall be made on account of materials and equipment delivered and suitably stored at the site for subsequent incorporation in the Work. If approved in advance by the Owner, payment may similarly be made for materials and equipment suitably stored off the site at a location agreed upon in writing. Payment for materials and equipment stored on or off the site shall be conditioned upon compliance by the Contractor with procedures satisfactory to the Owner to establish the Owner's title to such materials and equipment or otherwise protect the Owner's interest, and shall include the costs of applicable insurance, storage, and transportation to the site, for such materials and equipment stored off the site.",descriptive_metrics,0.9,,0.9,strong,"The predicted answer captures the essential terms and conditions for payment of offsite stored material, including the requirement for owner approval and the inclusion of costs for insurance, storage, and transportation. There is no contradiction, and the coverage is high.",,,,0.9,0.9,0.9,mismatch,"Payments for offsite stored materials require prior approval by the Owner, written agreement on the storage location, and compliance with procedures to protect the Owner's interest, including costs of insurance, storage, and transportation.","['c00084', 'c00000']"
Contract__16.pdf,Contract__16,How many days within Approved Application for Owner Payment?,number,30 days,7,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer '7' is incorrect as it does not match the gold answer '30 days'.,,,,,,,mismatch,seven days,"['c00084', 'c00000']"
Contract__16.pdf,Contract__16,What is the Article # for IMC's Stop Work Ability for late Owner payment?,identifier,14.1.4,2.2.2,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer '2.2.2' does not match the gold answer '14.1.4' and refers to a different article.,,,,,,,mismatch,2.2.2,"['c00044', 'c00112']"
Contract__16.pdf,Contract__16,What are the Terms & Conditions for IMC's Stop Work Ability for late Owner payment?,long_text,"If the Work is stopped for a period of 60 consecutive days through no act or fault of the Contractor, a Subcontractor, a Sub-subcontractor, or their agents or employees or any other persons or entities performing portions of the Work because the Owner has repeatedly failed to fulfill the Owner's obligations under the Contract Documents with respect to matters important to the progress of the Work, the Contractor may, upon seven additional days' notice to the Owner and the Architect, terminate the Contract and recover from the Owner as provided in 14.1.3.","If the Architect does not issue a Certificate for Payment, through no fault of the Contractor, within seven days after receipt of the Contractor's Application for Payment, or if the Owner does not pay the Contractor within seven days after the date established in the Contract Documents, the amount certified by the Architect or awarded by binding dispute resolution, then the Contractor may, upon seven additional days' notice to the Owner and Architect, stop the Work until payment of the amount owing has been received. The Contract Time shall be extended appropriately and the Contract Sum shall be increased by the amount of the Contractor's reasonable costs of shutdown, delay and start-up, plus interest as provided for in the Contract Documents.",descriptive_metrics,0.3,,0.7,weak,"The predicted answer addresses a different scenario related to late payment but does not cover the specific terms and conditions for IMC's Stop Work Ability for late Owner payment as described in the gold answer. There is some overlap in the general context of late payment consequences, but the details and conditions differ significantly.",,,,0.3,0.3,0.3,mismatch,"The Contractor may stop the Work if the Owner does not pay within seven days after the established date, with a seven-day notice.","['c00090', 'c00112']"
