form_row_id,contract_filename,contract_id,question_id,question_text,answer_type,answer,normalized_at
13,Contract__19.pdf,contract__19,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2024-01-17 00:00:00,2026-01-25T19:55:50
10,Contract__20.pdf,contract__20,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-09-28 00:00:00,2026-01-25T19:55:50
16,Contract__21.pdf,contract__21,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2024-08-26 00:00:00,2026-01-25T19:55:50
12,Contract__12.pdf,contract__12,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-10-30 00:00:00,2026-01-25T19:55:50
17,Contract__22.pdf,contract__22,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2024-08-29 00:00:00,2026-01-25T19:55:50
18,Contract__13.pdf,contract__13,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-01-29 00:00:00,2026-01-25T19:55:50
21,Contract__14.pdf,contract__14,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-04-30 00:00:00,2026-01-25T19:55:50
26,Contract__23.pdf,contract__23,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-10-14 00:00:00,2026-01-25T19:55:50
22,Contract__22.pdf,contract__22,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-07-15 00:00:00,2026-01-25T19:55:50
20,Contract__24.pdf,contract__24,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-06-03 00:00:00,2026-01-25T19:55:50
25,Contract__16.pdf,contract__16,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-10-15 00:00:00,2026-01-25T19:55:50
27,Contract__25.pdf,contract__25,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-11-07 00:00:00,2026-01-25T19:55:50
1,,nan,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-04-25 00:00:00,2026-01-25T19:55:50
2,,nan,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-04-10 00:00:00,2026-01-25T19:55:50
8,Contract__1.pdf,contract__1,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
6,Contract__2.pdf,contract__2,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
3,Contract__3.pdf,contract__3,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
23,Contract__4.pdf,contract__4,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
11,Contract__5.pdf,contract__5,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
15,Contract__6.pdf,contract__6,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
9,Contract__7.pdf,contract__7,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A201 - Design Bid Build Standard,2026-01-25T19:55:50
5,Contract__8.pdf,contract__8,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
4,Contract__17.pdf,contract__17,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
19,Contract__18.pdf,contract__18,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
7,Contract__9.pdf,contract__9,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
14,Contract__10.pdf,contract__10,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
24,Contract__11.pdf,contract__11,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
13,Contract__19.pdf,contract__19,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
10,Contract__20.pdf,contract__20,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
16,Contract__21.pdf,contract__21,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A101 - Stipulated Sum,2026-01-25T19:55:50
12,Contract__12.pdf,contract__12,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
17,Contract__22.pdf,contract__22,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
18,Contract__13.pdf,contract__13,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
21,Contract__14.pdf,contract__14,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
26,Contract__23.pdf,contract__23,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A102 - GMP Cost Plus Fee,2026-01-25T19:55:50
22,Contract__22.pdf,contract__22,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A101 - Stipulated Sum,2026-01-25T19:55:50
20,Contract__24.pdf,contract__24,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
25,Contract__16.pdf,contract__16,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A101 - Stipulated Sum,2026-01-25T19:55:50
27,Contract__25.pdf,contract__25,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,Custom Contract,2026-01-25T19:55:50
1,,nan,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A195 - Integrated Project Delivery,2026-01-25T19:55:50
2,,nan,Q_what_is_the_aia_form_of_contract_agreement_e847e373,What is the AIA Form of Contract Agreement?,text,A201 - Design Bid Build Standard,2026-01-25T19:55:50
8,Contract__1.pdf,contract__1,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP,2026-01-25T19:55:50
6,Contract__2.pdf,contract__2,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP,2026-01-25T19:55:50
3,Contract__3.pdf,contract__3,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP: At Risk,2026-01-25T19:55:50
23,Contract__4.pdf,contract__4,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP,2026-01-25T19:55:50
11,Contract__5.pdf,contract__5,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,Princeton Design Build Contract,2026-01-25T19:55:50
15,Contract__6.pdf,contract__6,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP,2026-01-25T19:55:50
9,Contract__7.pdf,contract__7,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP,2026-01-25T19:55:50
5,Contract__8.pdf,contract__8,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP Cost Plus Fee,2026-01-25T19:55:50
4,Contract__17.pdf,contract__17,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,A133-2019 Cost of work plus fee with a GMP,2026-01-25T19:55:50
19,Contract__18.pdf,contract__18,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP plus fee with guaranteed max,2026-01-25T19:55:50
7,Contract__9.pdf,contract__9,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP (Cost + Fee),2026-01-25T19:55:50
14,Contract__10.pdf,contract__10,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP (Guaranteed Maximum Price) [1.1],2026-01-25T19:55:50
24,Contract__11.pdf,contract__11,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP,2026-01-25T19:55:50
13,Contract__19.pdf,contract__19,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,A102,2026-01-25T19:55:50
10,Contract__20.pdf,contract__20,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP (similar to AIA 102),2026-01-25T19:55:50
16,Contract__21.pdf,contract__21,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,Lump Sum,2026-01-25T19:55:50
12,Contract__12.pdf,contract__12,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,Guarantee Maximum Price (Custom Contract),2026-01-25T19:55:50
17,Contract__22.pdf,contract__22,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP,2026-01-25T19:55:50
18,Contract__13.pdf,contract__13,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,GMP,2026-01-25T19:55:50
26,Contract__23.pdf,contract__23,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,Cost of work plus a fee with guaranteed maximum price,2026-01-25T19:55:50
22,Contract__22.pdf,contract__22,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,Lump Sum,2026-01-25T19:55:50
20,Contract__24.pdf,contract__24,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,Standalone Design and Build Construction Agreement - Lump Sump,2026-01-25T19:55:50
25,Contract__16.pdf,contract__16,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,Stipulated Sum,2026-01-25T19:55:50
27,Contract__25.pdf,contract__25,Q_what_is_the_contract_type_for_this_project_custom__b1e4d0da,What is the Contract Type for this Project? (Custom Text Answer),text,Standalone Design Build Lump Sum Agreement,2026-01-25T19:55:50
8,Contract__1.pdf,contract__1,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
6,Contract__2.pdf,contract__2,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
3,Contract__3.pdf,contract__3,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
23,Contract__4.pdf,contract__4,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,Yes,2026-01-25T19:55:50
15,Contract__6.pdf,contract__6,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
9,Contract__7.pdf,contract__7,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
5,Contract__8.pdf,contract__8,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
4,Contract__17.pdf,contract__17,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
19,Contract__18.pdf,contract__18,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
7,Contract__9.pdf,contract__9,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
14,Contract__10.pdf,contract__10,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
24,Contract__11.pdf,contract__11,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,Yes,2026-01-25T19:55:50
13,Contract__19.pdf,contract__19,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
10,Contract__20.pdf,contract__20,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
16,Contract__21.pdf,contract__21,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
12,Contract__12.pdf,contract__12,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
17,Contract__22.pdf,contract__22,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
18,Contract__13.pdf,contract__13,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
21,Contract__14.pdf,contract__14,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
26,Contract__23.pdf,contract__23,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
22,Contract__22.pdf,contract__22,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
20,Contract__24.pdf,contract__24,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
25,Contract__16.pdf,contract__16,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
27,Contract__25.pdf,contract__25,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
2,,nan,Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,No,2026-01-25T19:55:50
8,Contract__1.pdf,contract__1,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,N/A - no consequential damages,2026-01-25T19:55:50
23,Contract__4.pdf,contract__4,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,"A201 – Article 15.1.6 This mutual waiver is applicable. without limitation. to all consequential damages due to either part),'s termination in accordance with Article 14. Nothing contained in this Section 15.1.6 shall be deemed to preclude an award of liquidated damages"" when applicable. in accordance with the requirements of the Contract Documents.",2026-01-25T19:55:50
11,Contract__5.pdf,contract__5,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,Entitled to collect damages after 60-days - does not specify - negotiated after 60-days.,2026-01-25T19:55:50
9,Contract__7.pdf,contract__7,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,A201 Section 15.1.6 Both parties agree to waiver of consequential damages without limitation,2026-01-25T19:55:50
4,Contract__17.pdf,contract__17,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,"15.1.7 Waiver of Claims for Consequential DamagesThe Contractor and Owner waive Claims against each other for consequential damages arising out of or relating to this Contract. This mutual waiver includes.1 damages incurred by the Owner for rental expenses, for losses of use, income, profit, financing, business and reputation, and for loss of management or employee productivity or of the services of such persons; and.2 damages incurred by the Contractor for principal office expenses including the compensation of personnel stationed there, for losses of financing, business and reputation, and for loss of profit, except anticipated profit arising directly from the Work This mutual waiver is applicable, without limitation, to all consequential damages due to either party’s termination in accordance with Article 14. Nothing contained in this Section 15.1.7 shall be deemed to preclude assessment of liquidated damages, when applicable, in accordance with the requirements of the Contract Documents.",2026-01-25T19:55:50
14,Contract__10.pdf,contract__10,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,"8.5.1 Construction Manager acknowledges that its completion of the Work after the Required Completion Date may cause substantial consequential damages to Owner consisting of damages including but not limited to: 8.5.1.1 Additional carry costs, including interest and internal cost of funds; 8.5.1.2 Loss of rents; 8.5.1.3 Loss of prospective tenants of the building which is to be constructed pursuant to this Agreement; and 8.5.1.4 Claims for damages due to breaches of the leases because of failure to deliver the leased premises within the time periods stated in the leases. 14.16.1 Construction Manager and Owner waive Claims against each other for consequential damages arising out of or relating to this Agreement. This mutual waiver includes .1 damages incurred by the Owner for rental expenses, for losses of use, income, profit, financing, business and reputation, and for loss of management or employee productivity or of the services of such persons; and .2 damages incurred by the Construction Manager for principal office expenses including the compensation of personnel stationed there, for losses of financing, business and reputation, and for loss of profit except profit for completed Work. 14.16.2 This mutual waiver is applicable, without limitation, to all consequential damages due to either party’s termination in accordance with Article 13. Nothing contained in this Section 14.16 shall be deemed to preclude an award of liquidated damages, when applicable, in accordance with the requirements of the Contract Document",2026-01-25T19:55:50
24,Contract__11.pdf,contract__11,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,Owner or Engineer shall not be liable for any consequential damages.,2026-01-25T19:55:50
10,Contract__20.pdf,contract__20,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,13.15 (mutually waived),2026-01-25T19:55:50
16,Contract__21.pdf,contract__21,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,Contractor is not entitled to payment for consequential damages,2026-01-25T19:55:50
12,Contract__12.pdf,contract__12,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,Article 4.10 - Contractor and Owner waive claims against each other for Consequential Damages.,2026-01-25T19:55:50
18,Contract__13.pdf,contract__13,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,any costs incurred by the owner to achieve final completion,2026-01-25T19:55:50
21,Contract__14.pdf,contract__14,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,na,2026-01-25T19:55:50
22,Contract__22.pdf,contract__22,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,"§ 15.1.7 Waiver of Claims for Consequential Damages The Contractor and Owner waive Claims against each other for consequential damages arising out of or relating to this Contract. This mutual waiver includes .1 damages incurred by the Owner for rental expenses, for losses of use, income, profit, financing, business and reputation, and for loss of management or employee productivity or of the services of such persons; and .2 damages incurred by the Contractor for principal office expenses including the compensation of personnel stationed there, for losses of financing, business and reputation, and for loss of profit, except anticipated profit arising directly from the Work. This mutual waiver is applicable, without limitation, to all consequential damages due to either party’s termination in accordance with Article 14. Nothing contained in this Section 15.1.7 shall be deemed to preclude assessment of liquidated damages, when applicable, in accordance with the requirements of the Contract Documents.",2026-01-25T19:55:50
20,Contract__24.pdf,contract__24,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,Section 40,2026-01-25T19:55:50
27,Contract__25.pdf,contract__25,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,Section 40,2026-01-25T19:55:50
2,,nan,Q_what_are_the_are_the_consequential_damages_terms_c_a735b277,What are the are the Consequential Damages Terms & Conditions?,text,this is a test this is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a testthis is a test,2026-01-25T19:55:50
8,Contract__1.pdf,contract__1,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
6,Contract__2.pdf,contract__2,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,No,2026-01-25T19:55:50
3,Contract__3.pdf,contract__3,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
23,Contract__4.pdf,contract__4,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
11,Contract__5.pdf,contract__5,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,No,2026-01-25T19:55:50
15,Contract__6.pdf,contract__6,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
9,Contract__7.pdf,contract__7,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
5,Contract__8.pdf,contract__8,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
4,Contract__17.pdf,contract__17,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
19,Contract__18.pdf,contract__18,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
7,Contract__9.pdf,contract__9,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
14,Contract__10.pdf,contract__10,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
24,Contract__11.pdf,contract__11,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
13,Contract__19.pdf,contract__19,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,No,2026-01-25T19:55:50
10,Contract__20.pdf,contract__20,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
16,Contract__21.pdf,contract__21,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
12,Contract__12.pdf,contract__12,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
17,Contract__22.pdf,contract__22,Q_is_there_a_mutual_waiver_of_consequential_damages__88506df0,Is there a mutual waiver of Consequential Damages in the Contract?,boolean,Yes,2026-01-25T19:55:50
